AREANM,AREACD,time1,time2,time3,time4,time5
Hartlepool,E06000001,45,58.2,66.6,64.7,68.2
Middlesbrough,E06000002,35.6,45.9,54.3,57.4,61.2
Redcar and Cleveland,E06000003,46,50.2,61.7,65.4,65.6
Stockton-on-Tees,E06000004,38.3,47.1,56.5,62.8,66.9
Darlington,E06000005,46.8,53.8,65.7,67,71.4
Halton,E06000006,33.3,38.9,50.4,57.6,58.7
Warrington,E06000007,43,58.2,65.8,70.5,69.5
Blackburn with Darwen,E06000008,36.9,43.9,53.6,59.2,63.2
Blackpool,E06000009,48.6,51.6,59.8,63.2,65.1
"Kingston upon Hull, City of",E06000010,35.4,46.1,56.6,59.9,61.1
East Riding of Yorkshire,E06000011,53.5,63.3,67.3,68.2,70.3
North East Lincolnshire,E06000012,62.4,66.1,67.2,68.7,68.7
East Cambridgeshire,E07000009,48.6,59.3,63.4,67,68.5
North Lincolnshire,E06000013,49.5,63.1,68.5,72.6,70.4
York,E06000014,53.2,62.5,68.3,72.9,74
Derby,E06000015,38.1,49.1,57.8,64,66.1
Leicester,E06000016,22.4,35.9,46.8,57.7,62.2
Rutland,E06000017,56.5,61.2,73.8,69,74.8
Nottingham,E06000018,37,43.3,55.4,61.5,62.4
"Herefordshire, County of",E06000019,51.9,58.6,63.7,70.9,73.9
Telford and Wrekin,E06000020,42.6,55,62.8,66.5,68
Stoke-on-Trent,E06000021,48.4,51,57.3,61.3,63.6
Bath and North East Somerset,E06000022,48.2,60.1,68,67.5,69.7
"Bristol, City of",E06000023,45.6,54.6,60.2,64.6,65.4
North Somerset,E06000024,62.3,67.9,71.7,73,74.1
South Gloucestershire,E06000025,50,55.3,62.8,64.9,67
Plymouth,E06000026,55.6,57,61,62.6,64.2
Torbay,E06000027,46,57.4,61.1,68.1,70.8
Bournemouth,E06000028,57.1,66.7,70.5,70.3,74.1
North East Derbyshire,E07000038,47.1,58.9,65.9,67.8,67.9
Poole,E06000029,46.2,59.2,64.8,71,73.8
Swindon,E06000030,53.5,58.4,66.2,67.1,68.2
East Devon,E07000040,61.8,66.5,70.3,71,69.9
Peterborough,E06000031,43,56.2,58.6,60.5,59.7
Luton,E06000032,43.6,48.4,58.8,62.5,65.8
Southend-on-Sea,E06000033,43.9,58.9,68,70.5,72.9
Thurrock,E06000034,50.9,65.4,71.1,74.1,74.6
Medway,E06000035,52.9,61,68.2,71.4,72.5
Bracknell Forest,E06000036,56.3,62.6,70.7,72.5,72.8
West Berkshire,E06000037,58.7,63.7,70,74.7,75.3
Reading,E06000038,46.1,59.2,64.4,69,68.8
East Dorset,E07000049,59.7,66.6,66.7,69,68.1
Slough,E06000039,47.9,55.6,63.7,67.6,69.8
Windsor and Maidenhead,E06000040,54.2,64.5,72.3,72.8,75.9
Wokingham,E06000041,45.3,59.2,68.7,73.7,74.9
Milton Keynes,E06000042,46,59.8,65.2,69.8,72.1
Brighton and Hove,E06000043,42.9,59,63.5,64.7,68.6
Surrey Heath,E07000214,49.7,61.7,71.6,75.1,76.6
Portsmouth,E06000044,52.3,62.8,67.7,68.7,69.6
Southampton,E06000045,48.7,60,64.3,68.4,68.9
Isle of Wight,E06000046,40.5,61.8,69.3,70.7,70
County Durham,E06000047,37.5,52.5,60.2,66.4,70
North Warwickshire,E07000218,41.2,57.5,64.6,69.2,70.7
Cheshire East,E06000049,53.4,58.8,66.2,68.5,69.7
Cheshire West and Chester,E06000050,49.9,59.9,67.3,69,68.9
Shropshire,E06000051,50.4,62.7,67.1,68.2,70.4
Cornwall,E06000052,46.9,56.6,61.8,65.5,67.4
Wiltshire,E06000054,50.8,57,64.7,69.9,69.8
Bedford,E06000055,45.2,55.1,58,60.3,64.1
Central Bedfordshire,E06000056,47.3,54.8,61.7,67,69.3
Northumberland,E06000057,47.2,54.5,63.6,71.7,73.8
Mid Sussex,E07000228,41.3,64.2,73.2,74.6,75.8
East Hertfordshire,E07000242,59.3,64.2,67,67.9,70.3
Bolton,E08000001,44.3,50.8,57,61.2,62.6
Bury,E08000002,47.6,53.8,64.2,67.5,67.3
Manchester,E08000003,43.6,48.5,57.5,60.2,63.6
Oldham,E08000004,37.3,46.7,52.5,56.6,61.2
Rochdale,E08000005,38.3,46.7,52.6,59.1,61.1
Salford,E08000006,49.3,54.6,58.2,62.1,66.4
Stockport,E08000007,51.9,59.7,65.7,67.3,69.5
Tameside,E08000008,38.8,50.1,55.2,60.7,63.5
Trafford,E08000009,59,66.8,72.1,72.3,71.7
Wigan,E08000010,34.5,51.4,58.8,62.4,65.5
Knowsley,E08000011,51.5,58,59.3,64.6,65.5
Liverpool,E08000012,49.1,52.7,55.1,58.1,60.7
Birmingham,E08000025,46.6,53.2,58.7,60.6,63.6
St. Helens,E08000013,53.3,58.5,61.6,64.2,65.1
Sefton,E08000014,49,55.7,63.9,68,68.9
Wirral,E08000015,43.5,59.3,67.3,67.9,67.5
Barnsley,E08000016,46.7,52.8,59.1,63.1,67.5
Doncaster,E08000017,40.1,50.7,63.3,67.6,68.9
Rotherham,E08000018,53.2,60.1,65.8,68.7,70.1
Sheffield,E08000019,47.7,57.9,63.3,67.7,68.8
Newcastle upon Tyne,E08000021,40.7,51.4,58.3,67.9,70.1
North Tyneside,E08000022,46,55.8,62.3,68,69.1
South Tyneside,E08000023,45.9,53.2,57.9,66.2,69.4
Sunderland,E08000024,50.2,57.4,64.1,66.9,69.9
Coventry,E08000026,52.1,57.1,62.1,63.6,64.9
Dudley,E08000027,48.3,55.2,58.3,61.7,62.3
Sandwell,E08000028,42,49.7,53.8,57,61.4
Solihull,E08000029,52.6,57.7,64.9,68.5,68.6
Walsall,E08000030,43.1,49.1,56.7,60.7,62.2
East Hampshire,E07000085,56.7,65.9,71,74,74.7
Wolverhampton,E08000031,41.5,53.4,58,56.6,61.9
Bradford,E08000032,43.7,50.8,58.4,63.2,65.5
Calderdale,E08000033,42.1,52.2,60.8,64.8,66.6
Kirklees,E08000034,50.8,58.6,62.6,65.3,66.5
Leeds,E08000035,46.6,54.7,59.2,59.9,63.4
Wakefield,E08000036,54.4,57.9,62.8,62.9,65.1
Gateshead,E08000037,31.4,54.4,62.3,67.1,68.8
City of London,E09000001,61.4,65.3,75.5,78.6,61.7
Barking and Dagenham,E09000002,40.4,55.6,64.9,67.3,68.6
Barnet,E09000003,57.8,64.1,66.7,67.6,71.8
Bexley,E09000004,62.9,71.9,75.3,77,75.9
Brent,E09000005,53.6,55.5,58.7,65.6,68.1
Bromley,E09000006,59.6,66.1,72.4,74.9,76.8
Camden,E09000007,42,51.9,59.6,62.6,64.9
Croydon,E09000008,42.5,53.4,62,68.3,71.7
Ealing,E09000009,53.7,62,68,68.3,70.5
Enfield,E09000010,45.9,55.8,62.2,63.9,66.6
Greenwich,E09000011,65.9,71.3,75,77.4,77.2
Hackney,E09000012,55.1,62.3,66.4,67.8,69.6
Hammersmith and Fulham,E09000013,49.5,58.5,67,69,71.7
Haringey,E09000014,45.8,59.2,65.2,71.4,73.8
Harrow,E09000015,41.2,57.8,68.6,71.1,71.3
Havering,E09000016,56.6,64.3,66.8,69.1,71.2
Hillingdon,E09000017,37.9,50.3,62.7,67.9,70.6
Hounslow,E09000018,35.5,54.5,61.4,67,68.9
Islington,E09000019,38,53.9,62.4,64.3,68.5
Kensington and Chelsea,E09000020,44.8,53.3,61.4,61.9,68.4
Kingston upon Thames,E09000021,56,64.1,71.8,74.5,75.7
Lambeth,E09000022,42.8,54.1,61.2,67,68.8
Lewisham,E09000023,66.2,74.5,76.5,78.1,78.4
Merton,E09000024,42.5,58.3,67.1,70.1,73
Newham,E09000025,51.2,62.6,65.7,70.3,73.1
Redbridge,E09000026,56.7,61.2,65.2,69.7,71.7
Richmond upon Thames,E09000027,40.6,62.9,71,77,78
Southwark,E09000028,55.9,62.2,68.5,69.7,71.6
Sutton,E09000029,38.9,57.8,63.2,68.3,68.3
Tower Hamlets,E09000030,41.7,51.2,57.5,63.6,65.7
West Lancashire,E07000127,56.4,61.1,65.1,67.1,66.9
Waltham Forest,E09000031,52,60.7,64.7,70.3,72.5
Wandsworth,E09000032,52.3,62.5,68.3,71.9,74.1
Westminster,E09000033,46.5,55.6,63.3,68.3,69
North West Leicestershire,E07000134,43.8,56.6,62,66,68.4
King's Lynn and West Norfolk,E07000146,43.1,55.2,62.9,66.8,68.1
East Northamptonshire,E07000152,47.1,54.7,62.7,65.5,67.6
South Oxfordshire,E07000179,45.5,58.3,64.3,68.9,71.1
East Staffordshire,E07000193,51.6,61.9,67.9,72.1,73.1
Mid Suffolk,E07000203,46.4,56.8,65.4,68.5,68.7
