AREANM,AREACD,time1,time2,time3,time4,time5
Hartlepool,E06000001,53.6,69.7,74.1,72.2,77.3
Middlesbrough,E06000002,46.2,54,62.9,66.1,70.2
Redcar and Cleveland,E06000003,54.7,62.7,72.4,75.7,75.6
Stockton-on-Tees,E06000004,47.3,57.6,65.9,72.4,74
Darlington,E06000005,57.2,62.7,77,74.4,80.1
Halton,E06000006,41.4,46.5,58.8,66.8,66.3
Warrington,E06000007,51.3,67.5,73.3,78.7,76.9
Blackburn with Darwen,E06000008,43.3,51.5,62.2,67.8,70.6
Blackpool,E06000009,58.9,62.2,69,70,72.8
"Kingston upon Hull, City of",E06000010,43.6,53.6,66.5,68.2,70.2
East Riding of Yorkshire,E06000011,62.9,74.1,76.9,75.6,78.9
North East Lincolnshire,E06000012,71.7,75.3,75.3,75.8,75.2
East Cambridgeshire,E07000009,57.6,68.5,71.4,74.6,76.5
North Lincolnshire,E06000013,57.9,71.2,76.7,81.8,77.1
York,E06000014,62.4,69.5,76.7,78.6,79.9
Derby,E06000015,44.2,58.9,66.8,72.1,74
Leicester,E06000016,28.2,43.9,55,65.8,70.3
Rutland,E06000017,64.1,67,79.8,81.1,80.3
Nottingham,E06000018,45.2,52.9,64.2,70.4,68.8
"Herefordshire, County of",E06000019,62.6,68.3,72.8,79,84.1
Telford and Wrekin,E06000020,51.7,64.8,72,76,76
Stoke-on-Trent,E06000021,56.9,60.2,65.4,70.3,72.6
Bath and North East Somerset,E06000022,58.7,67.8,76.1,75.6,75.4
"Bristol, City of",E06000023,52.9,62.6,68.2,73,71.8
North Somerset,E06000024,70.8,75.6,79.1,80.5,79.9
South Gloucestershire,E06000025,58.4,63.4,71.4,72.6,73.9
Plymouth,E06000026,65.4,65.9,69.8,71,72.7
Torbay,E06000027,55.6,67.1,69.8,75.9,78.1
Bournemouth,E06000028,67.3,73,77,77.5,82.8
North East Derbyshire,E07000038,55.6,68,75.1,75.8,75.5
Poole,E06000029,54.9,69.4,74.6,80,80.6
Swindon,E06000030,62.2,68,75.1,75.4,76
East Devon,E07000040,69.6,75.7,78.6,78.9,78.2
Peterborough,E06000031,51.6,65.1,67.2,68.7,67.4
Luton,E06000032,51.2,56.8,67.7,70.8,73.6
Southend-on-Sea,E06000033,51.9,69.4,75.8,79.4,80.2
Thurrock,E06000034,62.4,73,80.3,82.5,81.1
Medway,E06000035,63.1,69.8,77.7,79.8,80.5
Bracknell Forest,E06000036,67,70.8,79.3,80.6,80.3
West Berkshire,E06000037,69,72.4,78.9,82.6,82.2
Reading,E06000038,54.7,68.6,71.4,75.7,78.1
East Dorset,E07000049,69.1,74.5,77,76.1,75
