AREANM,AREACD,time1,time2,time3,time4,time5
Slough,E06000039,54.7,64.6,71.7,76,76.3
Windsor and Maidenhead,E06000040,64.8,71.9,79.3,81.2,81.7
Wokingham,E06000041,55,70.9,76.4,81.1,81.9
Milton Keynes,E06000042,55.8,68.3,74.9,79.5,79.7
Brighton and Hove,E06000043,50.2,68.8,72.3,73.2,78
Surrey Heath,E07000214,57.5,71.5,79.4,82.6,83.6
Portsmouth,E06000044,63.7,72.4,77.1,75.5,77.4
Southampton,E06000045,58,66.8,72.5,77.8,77.5
Isle of Wight,E06000046,51.6,70.7,79,79.8,76.2
County Durham,E06000047,47.2,62.3,68.8,74.1,78.2
North Warwickshire,E07000218,51.1,66.8,72.9,77.5,79.1
Cheshire East,E06000049,63.1,68.6,74.4,76.8,76.5
Cheshire West and Chester,E06000050,58.7,68.9,76.5,77.6,78.5
Shropshire,E06000051,59.1,71.5,75.3,76.9,76.3
Cornwall,E06000052,57,65.6,70.8,75.4,75.9
Wiltshire,E06000054,60.2,65.7,74.2,78.2,76.7
Bedford,E06000055,51.6,62.5,67.2,68.6,72
Central Bedfordshire,E06000056,54.7,65.4,70.4,75.1,77.1
Northumberland,E06000057,54.8,64.8,71.6,80.3,79
Mid Sussex,E07000228,49,73.3,81.7,82.6,83.4
East Hertfordshire,E07000242,68.2,72.5,75.8,75.6,77.3
Bolton,E08000001,51.8,60.2,65.5,69.5,71.2
Bury,E08000002,55.7,62.3,71.1,72.3,75.1
Manchester,E08000003,52.9,57.5,67.5,69.9,72.2
Oldham,E08000004,44.6,54.7,59.7,65.2,70.3
Rochdale,E08000005,47.4,56.4,62.4,69.3,71.4
Salford,E08000006,57.7,64.6,68.1,73.7,74.4
Stockport,E08000007,61.3,66.5,76,75.3,76.2
Tameside,E08000008,47.6,60.2,63.3,70.5,71.1
Trafford,E08000009,68,74.4,79.4,79.6,79.3
Wigan,E08000010,43.2,60.5,67.4,71,74.3
Knowsley,E08000011,62,68.8,69.7,73.8,75.2
Liverpool,E08000012,57.3,62.3,64,67.6,69.2
Birmingham,E08000025,55,61.6,66.8,68.2,71.2
St. Helens,E08000013,62.2,67.9,73.6,73.8,74.4
Sefton,E08000014,57.7,66.8,73.6,77.8,75.7
Wirral,E08000015,53.1,68.5,75.9,77.8,75.7
Barnsley,E08000016,55.8,63.9,70.1,73.9,77.1
Doncaster,E08000017,49,59.9,72.6,76.3,75.7
Rotherham,E08000018,63.5,68.4,73.9,76.7,77.1
Sheffield,E08000019,55.8,66,71.1,75.1,75.9
Newcastle upon Tyne,E08000021,50.3,60.5,66.7,75.1,76.8
North Tyneside,E08000022,55.3,66.1,73.3,76,76.1
South Tyneside,E08000023,53.4,61.6,67.7,75.3,78
Sunderland,E08000024,58.1,67.1,73.3,75.8,78.3
Coventry,E08000026,59.6,66.2,70.9,73.1,73
Dudley,E08000027,58.6,63.9,69,72.5,69.6
Sandwell,E08000028,50.6,59,63.7,64.4,69.3
Solihull,E08000029,62.2,65.7,72.4,76.2,75.8
Walsall,E08000030,51.7,57.7,65.4,69.8,70.9
East Hampshire,E07000085,65.6,75.1,78.8,80.8,81.9
Wolverhampton,E08000031,50.9,61.3,66.8,66.2,69
Bradford,E08000032,51.4,59.7,67.6,71.3,73.6
Calderdale,E08000033,51.8,61.3,70,74.4,72.4
Kirklees,E08000034,59.3,67.8,71.3,74.5,74.5
Leeds,E08000035,55.1,63,67.5,68.2,71.3
Wakefield,E08000036,65,68.8,72.4,72.5,73.8
Gateshead,E08000037,39.2,63.3,70.4,74.6,75.8
City of London,E09000001,81.3,59.3,85.2,86.4,71.8
Barking and Dagenham,E09000002,48.8,63.9,73.7,74.3,76.6
Barnet,E09000003,65.2,71.8,74.9,74.6,79.4
Bexley,E09000004,72.8,79.4,82.5,83.1,83.7
Brent,E09000005,60.6,63.5,65.5,73.3,76.9
Bromley,E09000006,69.2,74.1,80.1,80.9,83.3
Camden,E09000007,52.3,61.3,67.3,69.6,70.8
Croydon,E09000008,52.1,61.6,70.5,75.7,79.8
Ealing,E09000009,61,71.3,76.2,75,76.3
Enfield,E09000010,55.1,64.5,70.2,72.1,73.2
Greenwich,E09000011,73.5,79,81.8,84.4,84.7
Hackney,E09000012,63,70,72.8,74.1,77.3
Hammersmith and Fulham,E09000013,58.7,66.7,76.7,74.9,77.1
Haringey,E09000014,53.2,67.5,74,77.7,79.6
Harrow,E09000015,49.3,66.8,75.8,78.7,79.3
Havering,E09000016,63.3,73.5,74.5,77.7,78.2
Hillingdon,E09000017,45.8,59.3,69.5,76.6,77.5
Hounslow,E09000018,44.2,63.7,71.9,74.7,76.2
Islington,E09000019,47.1,62.7,71.9,74,76.2
Kensington and Chelsea,E09000020,53.3,62.4,68.3,70.3,77.2
Kingston upon Thames,E09000021,64.4,71.4,80,80.9,82.7
Lambeth,E09000022,49.7,64,71.9,74.1,74.9
Lewisham,E09000023,74.4,79.3,82.5,83.6,83.8
Merton,E09000024,51.4,65.7,74.6,77.2,78.6
Newham,E09000025,57.9,69.2,72.5,76.5,80
Redbridge,E09000026,65.2,69.4,73.3,76.4,78.6
Richmond upon Thames,E09000027,47.8,73.1,77.4,84,83.4
Southwark,E09000028,64.1,69.7,76.5,77.6,78.3
Sutton,E09000029,48,66.7,72.7,78.3,76.9
Tower Hamlets,E09000030,49.9,60,66.5,71.7,72.7
West Lancashire,E07000127,65.2,69.9,73,74.8,74.7
Waltham Forest,E09000031,58.7,68.1,72.8,77.3,78.4
Wandsworth,E09000032,61.6,69.2,75.9,80.6,80.7
Westminster,E09000033,54.3,62.1,71.5,77.2,74.9
North West Leicestershire,E07000134,51.9,65.9,70.9,74.5,75.8
King's Lynn and West Norfolk,E07000146,51,64.6,71.2,75.2,75.6
East Northamptonshire,E07000152,55.8,63.4,71.3,73.5,75.4
South Oxfordshire,E07000179,53.8,68,73.3,77,78.9
East Staffordshire,E07000193,61.4,71.3,76.5,79.8,80.5
Mid Suffolk,E07000203,54.5,65.1,73.7,76.9,76.7
